year	firm	evtdate
2006	600763	20070427
2006	600764	20070327
2006	600765	20070315
2006	600766	20070213
2006	600767	20070329
2006	600768	20070418
2006	600769	20070412
2006	600770	20070414
2006	600771	20070425
2006	600773	20070427
2006	600774	20070330
2006	600775	20070426
2006	600776	20070410
2006	600777	20070421
2006	600778	20070427
2006	600779	20070309
2006	600780	20070418
2006	600781	20070215
2006	600782	20070328
2006	600783	20070309
2006	600784	20070303
2006	600785	20070314
2006	600786	20070403
2006	600787	20070315
2006	600789	20070428
2006	600790	20070418
2006	600791	20070308
2006	600792	20070208
2006	600793	20070416
2006	600794	20070417
2006	600795	20070308
2006	600796	20070428
2006	600797	20070423
2006	600798	20070320
2006	600800	20070428
2006	600801	20070317
2006	600802	20070420
2006	600803	20070212
2006	600804	20070216
2006	600805	20070424
2006	600806	20070419
2006	600807	20070428
2006	600808	20070418
2006	600809	20070404
2006	600810	20070426
2006	600811	20070430
2006	600812	20070428
2006	600814	20070420
2006	600815	20070323
2006	600817	20070430
2006	600818	20070428
2006	600819	20070426
2006	600820	20070413
2006	600821	20070426
2006	600822	20070317
2006	600823	20070412
2006	600824	20070306
2006	600825	20070420
2006	600826	20070328
2006	600827	20070419
2006	600828	20070421
2006	600829	20070416
2006	600830	20070331
2006	600831	20070328
2006	600832	20070418
2006	600833	20070331
2006	600834	20070210
2006	600835	20070412
2006	600836	20070331
2006	600837	20070430
2006	600838	20070428
2006	600839	20070216
2006	600840	20070202
2006	600841	20070331
2006	600842	20070418
2006	600843	20070421
2006	600844	20070430
2006	600845	20070320
2006	600846	20070310
2006	600847	20070425
2006	600848	20070319
2006	600849	20070331
2006	600850	20070303
2006	600851	20070421
2006	600853	20070322
2006	600854	20070427
2006	600855	20070317
2006	600856	20070414
2006	600857	20070410
2006	600858	20070328
2006	600859	20070421
2006	600860	20070425
2006	600861	20070331
2006	600862	20070425
2006	600863	20070425
2006	600864	20070309
2006	600865	20070331
2006	600866	20070331
2006	600867	20070413
2006	600868	20070430
2006	600869	20070327
2006	600870	20070427
2006	600871	20070402
2006	600872	20070425
2006	600873	20070330
2006	600874	20070419
2006	600875	20070403
2006	600876	20070426
2006	600877	20070405
2006	600879	20070126
2006	600880	20070328
2006	600881	20070413
2006	600882	20070329
2006	600883	20070322
2006	600884	20070413
2006	600885	20070421
2006	600886	20070323
2006	600887	20070430
2006	600888	20070301
2006	600889	20070411
2006	600890	20070406
2006	600891	20070428
2006	600892	20070330
2006	600893	20070421
2006	600894	20070328
2006	600895	20070319
2006	600896	20070327
2006	600897	20070330
2006	600898	20070130
2006	600900	20070410
2006	600960	20070310
2006	600961	20070308
2006	600962	20070328
2006	600963	20070421
2006	600965	20070306
2006	600966	20070215
2006	600967	20070212
2006	600969	20070412
2006	600970	20070420
2006	600971	20070302
2006	600973	20070324
2006	600975	20070412
2006	600976	20070424
2006	600978	20070123
2006	600979	20070424
2006	600980	20070412
